name,affiliation
Bruno Lepri,"Bruno Kessler Foundation, Trento, Italy"
Vasanthan Raghavan,"Qualcomm Flarion Technologies, Inc., Bridgewater, NJ, USA"
Yaniv Altshuler,"Athena Wisdom, Ramat Yishai, Israel"
Les Servi,"The MITRE Corporation, Bedford, MA, USA"
Sara Beth Elson,"The MITRE Corporation, Bedford, MA, USA"
João Bártolo Gomes,"DataRobot, Inc., Singapore"
Hai-Long Nguyen,"McLaren Applied Technologies Pte. Ltd., Singapore"
Hirotaka Ujikawa,"Access Network Service Systems Laboratories, NTT Corporation, Yokosuka, Japan"
Ken-Ichi Suzuki,"Access Network Service Systems Laboratories, NTT Corporation, Yokosuka, Japan"
Chaynika Taneja,"Defence Research and Development Organization, New Delhi, India"
Kevin S. Xu 0001,
Nitin Agarwal,
Dongwon Lee 0001,
Nathaniel Osgood,
Ying Liu,"Premise Technology, Inc, Hsinchu, Taiwan"
Yang Li,"Sina Weibo, Beijing, China"
Junlin Zhang,"Sina Weibo, Beijing, China"
Yuanjun Bi,"Suning Commerce Research and Development Center USA, Inc., Palo Alto, CA, USA"
Mehran Roshandel,"Deutsche Telekom AG (T-Systems and Telekom Innovation Laboratories), Berlin, Germany"
Christoph Peylo,"Bosch Center for Artificial Intelligence, Renningen, Germany"
Shaymaa Khater,"Solebrity, Inc., Ashburn, VA, USA"
Yile Yang,"Lenovo Machine Intelligence Laboratory, Lenovo Group Ltd., Hong Kong"
Makoto Nakatsuji,"NTT Resonant Inc., Tokyo, Japan"
Xiaohui Lu,"Hendler are with the Tetherless World Constellation, Troy, NY, USA"
Bassem Makni,"Hendler are with the Tetherless World Constellation, Troy, NY, USA"
James A. Hendler,"Hendler are with the Tetherless World Constellation, Troy, NY, USA"
Paramita Dey,"Department of Information Technology, Government College of Engineering and Ceramic Technology, Kolkata, India"
Ashutosh Trivedi 0002,"Spext, Bangalore, India"
Yulia Tyshchuk,"Department of Biomedical Informatics, Harvard Medical School, Boston, MA, USA"
Yuling Hu,"Beijing Key Laboratory of Intelligent Processing for Building Big Data, Beijing, China"
Yalin E. Sagduyu,"Intelligent Automation, Inc., Rockville, MD, USA"
Alexander Grushin,"Intelligent Automation, Inc., Rockville, MD, USA"
Yi Shi 0001,"Intelligent Automation, Inc., Rockville, MD, USA"
Alexander G. Tartakovsky,"AGT StatConsult, Los Angeles, CA, USA"
Shunyi Mao,"Zhongan Technology Co., Ltd., Shanghai, China"
Aman Kharb,"Goldman Sachs, Bengaluru, India"
Xiao Wang 0002,"Vehicle Intelligence Pioneers Inc., Qingdao, China"
